model,dataset,target,horizon,store,product,lookback,units1,dropout,lr,batch,activation,smape,mase,rmse,rmsle
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S002,P0015,30,16,0.3,0.001,32,sigmoid,35.62113,0.72561735,43.81886672973633,0.8243563771247864
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S002,P0016,30,16,0.3,0.001,32,sigmoid,35.995117,0.7933634,42.21055603027344,0.6524016261100769
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S002,P0017,30,16,0.3,0.001,32,sigmoid,52.337784,0.8508354,45.90846633911133,0.8959205746650696
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S002,P0018,30,16,0.3,0.001,32,sigmoid,30.295437,0.75762004,30.305042266845703,0.4190899729728699
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S002,P0019,30,16,0.3,0.001,32,sigmoid,33.848877,0.6951902,38.974205017089844,0.6664344668388367
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S002,P0020,30,16,0.3,0.001,32,sigmoid,42.193256,0.84027696,31.278724670410156,0.5353200435638428
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S003,P0001,30,16,0.3,0.001,32,sigmoid,51.675217,0.90048087,45.11777114868164,0.9840185642242432
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S003,P0002,30,16,0.3,0.001,32,sigmoid,40.89275,0.73116934,46.69253921508789,0.7442240118980408
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S003,P0003,30,16,0.3,0.001,32,sigmoid,34.875244,0.8200774,36.316280364990234,0.5155569911003113
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S003,P0004,30,16,0.3,0.001,32,sigmoid,41.133083,0.84013695,52.50701141357422,0.7545915246009827
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S003,P0005,30,16,0.3,0.001,32,sigmoid,51.177853,0.85329974,47.148284912109375,0.8862790465354919
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S003,P0006,30,16,0.3,0.001,32,sigmoid,42.813572,0.857543,36.50916290283203,0.6570128798484802
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S003,P0007,30,16,0.3,0.001,32,sigmoid,34.957264,0.70555,45.391632080078125,0.5155806541442871
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S003,P0008,30,16,0.3,0.001,32,sigmoid,30.332193,0.71965635,38.640724182128906,0.36701133847236633
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S003,P0009,30,16,0.3,0.001,32,sigmoid,35.01997,0.83974826,38.886470794677734,0.4569540321826935
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S003,P0010,30,16,0.3,0.001,32,sigmoid,30.88551,0.6842153,35.001014709472656,0.5109056830406189
