model,store,product,horizon,smape,mase,rmse,rmsle
SARIMAX,S002,P0011,28,69.3265,1.034,92.9621,1.0292
SARIMAX,S002,P0012,28,48.1908,1.1544,46.7096,0.5932
SARIMAX,S002,P0013,28,39.2422,0.8485,42.8366,0.6325
SARIMAX,S002,P0014,28,72.7473,1.5936,92.9048,1.2152
SARIMAX,S002,P0015,28,78.6374,1.1431,69.886,1.2347
SARIMAX,S002,P0016,28,44.7177,0.7902,55.1324,0.7584
SARIMAX,S002,P0017,28,83.926,1.9964,68.8255,1.2405
SARIMAX,S002,P0018,28,33.0901,0.6943,33.6362,0.4321
SARIMAX,S002,P0019,28,43.095,0.8642,48.9482,0.7607
SARIMAX,S002,P0020,28,61.9601,1.4191,61.4622,0.8275
SARIMAX,S003,P0001,28,71.7173,1.2328,97.2451,1.2483
SARIMAX,S003,P0002,28,46.3643,0.9474,61.1817,0.8314
SARIMAX,S003,P0003,28,34.055,1.0616,33.7071,0.4459
SARIMAX,S003,P0004,28,47.4952,0.7406,59.5787,0.7844
SARIMAX,S003,P0005,28,61.2045,1.4766,65.4551,1.0569
SARIMAX,S003,P0006,28,40.938,0.918,34.9096,0.5998
SARIMAX,S003,P0007,28,42.6605,0.9326,53.3946,0.5591
SARIMAX,S003,P0008,28,34.4979,0.9197,45.1462,0.4341
SARIMAX,S003,P0009,28,34.8932,0.7279,38.905,0.457
SARIMAX,S003,P0010,28,40.2662,0.8409,46.4372,0.5972
SARIMAX,S003,P0011,28,50.0712,0.7777,52.7197,1.054
SARIMAX,S003,P0012,28,46.5134,1.1061,36.2371,0.7469
SARIMAX,S003,P0013,28,48.1746,1.2435,51.6284,0.9153
SARIMAX,S003,P0014,28,45.3225,1.0683,58.6405,0.5833
SARIMAX,S003,P0015,28,43.9196,0.6585,53.8878,0.8847
SARIMAX,S003,P0016,28,68.0051,1.9017,113.6008,0.9414
SARIMAX,S003,P0017,28,50.6583,0.9353,38.136,0.8229
SARIMAX,S003,P0018,28,51.4026,1.4177,40.3204,0.6686
SARIMAX,S003,P0019,28,33.6969,0.8429,36.831,0.4465
SARIMAX,S003,P0020,28,38.8784,0.7859,56.7411,0.4986
SARIMAX,S004,P0001,28,39.5057,0.5868,47.546,0.7719
SARIMAX,S004,P0002,28,44.0647,0.6268,46.6924,0.7796
SARIMAX,S004,P0003,28,48.9872,0.8528,43.2373,0.6616
SARIMAX,S004,P0004,28,56.5455,1.1074,97.7665,0.9414
SARIMAX,S004,P0005,28,39.9384,1.4268,46.3078,0.5201
SARIMAX,S004,P0006,28,40.6034,1.4215,54.9102,0.5572
SARIMAX,S004,P0007,28,43.5774,0.7144,56.8442,0.6386
SARIMAX,S004,P0008,28,49.6155,1.0057,41.0319,0.6673
SARIMAX,S004,P0009,28,59.1402,1.3956,80.6345,1.0348
SARIMAX,S004,P0010,28,50.022,0.9214,68.0038,0.7582
