model,dataset,target,horizon,store,product,lookback,lstm_units,dropout,lr,batch_size,activation,smape,mase,rmse,rmsle
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S001,P0011,30,128,0.25624440198425424,0.000225332406953683,256,relu,38.706104,0.78235734,31.78095245361328,0.5224671959877014
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S001,P0012,30,128,0.25624440198425424,0.000225332406953683,256,relu,37.264942,0.7243931,44.02492904663086,0.5624048709869385
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S001,P0013,30,128,0.25624440198425424,0.000225332406953683,256,relu,44.27452,0.827097,36.11213302612305,0.6622785329818726
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S001,P0014,30,128,0.25624440198425424,0.000225332406953683,256,relu,38.150383,0.7364581,43.41743850708008,0.586890459060669
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S001,P0015,30,128,0.25624440198425424,0.000225332406953683,256,relu,40.053116,0.78066146,35.212528228759766,0.6397692561149597
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S001,P0016,30,128,0.25624440198425424,0.000225332406953683,256,relu,38.770935,0.6364584,45.72660446166992,0.7257747650146484
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S001,P0017,30,128,0.25624440198425424,0.000225332406953683,256,relu,43.217937,0.8044616,34.954246520996094,0.7335392832756042
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S001,P0018,30,128,0.25624440198425424,0.000225332406953683,256,relu,33.486202,0.7737187,38.190677642822266,0.4504072964191437
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S001,P0019,30,128,0.25624440198425424,0.000225332406953683,256,relu,40.896408,0.8703982,29.190031051635742,0.5758349895477295
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S001,P0020,30,128,0.25624440198425424,0.000225332406953683,256,relu,43.862255,0.7707887,31.471881866455078,0.6196227669715881
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S002,P0001,30,128,0.25624440198425424,0.000225332406953683,256,relu,41.192783,0.78468436,50.434139251708984,0.5741817355155945
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S002,P0002,30,128,0.25624440198425424,0.000225332406953683,256,relu,44.723675,0.78160614,41.472206115722656,0.6491600275039673
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S002,P0003,30,128,0.25624440198425424,0.000225332406953683,256,relu,40.904694,0.75035614,43.469356536865234,0.6503594517707825
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S002,P0004,30,128,0.25624440198425424,0.000225332406953683,256,relu,33.51935,0.6826647,41.4097785949707,0.44096630811691284
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S002,P0005,30,128,0.25624440198425424,0.000225332406953683,256,relu,38.72641,0.7798068,38.86976623535156,0.5241734981536865
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S002,P0006,30,128,0.25624440198425424,0.000225332406953683,256,relu,29.439646,0.74759656,33.5094108581543,0.42249685525894165
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S002,P0007,30,128,0.25624440198425424,0.000225332406953683,256,relu,49.10084,0.8829141,43.12400436401367,0.7434424161911011
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S002,P0008,30,128,0.25624440198425424,0.000225332406953683,256,relu,31.089598,0.67486244,35.466251373291016,0.44307374954223633
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S002,P0009,30,128,0.25624440198425424,0.000225332406953683,256,relu,35.45236,0.7368376,41.71651840209961,0.46744170784950256
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S002,P0010,30,128,0.25624440198425424,0.000225332406953683,256,relu,28.720701,0.729416,34.241302490234375,0.35009029507637024
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S002,P0011,30,128,0.25624440198425424,0.000225332406953683,256,relu,41.399296,0.7256388,47.19199752807617,0.8900050520896912
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S002,P0012,30,128,0.25624440198425424,0.000225332406953683,256,relu,35.242676,0.6997584,36.2734489440918,0.4941936135292053
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S002,P0013,30,128,0.25624440198425424,0.000225332406953683,256,relu,41.169567,0.6710186,46.17430877685547,0.7180162072181702
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S002,P0014,30,128,0.25624440198425424,0.000225332406953683,256,relu,45.555653,0.87823546,42.01597595214844,0.8326811790466309
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S002,P0015,30,128,0.25624440198425424,0.000225332406953683,256,relu,35.99759,0.7338362,43.68877410888672,0.8249459266662598
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S002,P0016,30,128,0.25624440198425424,0.000225332406953683,256,relu,36.127903,0.79787016,42.488582611083984,0.6586219668388367
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S002,P0017,30,128,0.25624440198425424,0.000225332406953683,256,relu,50.838387,0.8289819,44.53657913208008,0.889910101890564
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S002,P0018,30,128,0.25624440198425424,0.000225332406953683,256,relu,30.901257,0.7752396,30.695852279663086,0.42588624358177185
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S002,P0019,30,128,0.25624440198425424,0.000225332406953683,256,relu,33.606884,0.6876696,38.22666931152344,0.6599593758583069
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S002,P0020,30,128,0.25624440198425424,0.000225332406953683,256,relu,42.026314,0.83497244,31.403141021728516,0.5320382714271545
